epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.419,1.04559,1.51871,1.08121,0.89841,0.9341,0.94767,0.69542,0.95125,0.43847,1.04396,8.28993e-05,8.28993e-05,8.28993e-05
2,297.331,0.95705,0.61479,1.02933,0.921,0.93867,0.95907,0.68912,1.00085,0.43319,1.07333,0.000160747,0.000160747,0.000160747
3,429.211,0.94519,0.5641,1.03268,0.96001,0.93996,0.97465,0.73325,0.90468,0.41577,1.02515,0.000233095,0.000233095,0.000233095
4,561.432,0.95,0.54058,1.03556,0.96494,0.95833,0.97879,0.73693,0.91201,0.39676,1.02736,0.00022525,0.00022525,0.00022525
5,693.164,0.93498,0.51705,1.02791,0.94712,0.95686,0.9697,0.73608,0.89843,0.37339,1.02386,0.000217,0.000217,0.000217
6,824.754,0.92881,0.49801,1.02719,0.95911,0.96117,0.98041,0.7495,0.89626,0.36151,1.02395,0.00020875,0.00020875,0.00020875
7,956.542,0.91541,0.48486,1.01765,0.97041,0.96302,0.97818,0.74831,0.8993,0.35976,1.02354,0.0002005,0.0002005,0.0002005
8,1087.88,0.92218,0.47681,1.02175,0.95563,0.97097,0.98112,0.75682,0.89602,0.3622,1.01942,0.00019225,0.00019225,0.00019225
9,1219.47,0.90818,0.46561,1.02076,0.96524,0.97542,0.98571,0.75793,0.88042,0.35417,1.0205,0.000184,0.000184,0.000184
10,1351.22,0.90721,0.46194,1.02373,0.97423,0.96828,0.9826,0.75302,0.91923,0.35293,1.03651,0.00017575,0.00017575,0.00017575
11,1482.97,0.89884,0.45159,1.01712,0.97529,0.9718,0.98368,0.75889,0.89163,0.34219,1.01606,0.0001675,0.0001675,0.0001675
12,1614.76,0.90036,0.44188,1.01392,0.96674,0.95701,0.97921,0.75635,0.88039,0.34654,1.01855,0.00015925,0.00015925,0.00015925
13,1746.56,0.8936,0.43732,1.01558,0.96066,0.96625,0.97953,0.7641,0.87682,0.34173,1.0144,0.000151,0.000151,0.000151
14,1878.47,0.88312,0.42799,1.00912,0.97701,0.97169,0.98307,0.76616,0.88002,0.34114,1.0132,0.00014275,0.00014275,0.00014275
15,2010.76,0.87952,0.42246,1.00725,0.9696,0.97752,0.98595,0.76883,0.88078,0.33261,1.0132,0.0001345,0.0001345,0.0001345
16,2142.65,0.88099,0.4186,1.00782,0.97077,0.97499,0.98077,0.76143,0.88576,0.32858,1.01892,0.00012625,0.00012625,0.00012625
17,2274.44,0.87312,0.40933,1.00485,0.96771,0.97531,0.98388,0.76916,0.88848,0.32407,1.01467,0.000118,0.000118,0.000118
18,2406.01,0.8645,0.4076,1.0009,0.97245,0.96835,0.98176,0.77304,0.87018,0.32342,1.0084,0.00010975,0.00010975,0.00010975
19,2537.96,0.86529,0.40502,1.00302,0.97539,0.97426,0.98534,0.77513,0.86938,0.31927,1.01452,0.0001015,0.0001015,0.0001015
20,2670.57,0.85727,0.40081,1.00065,0.97148,0.979,0.98273,0.77485,0.86385,0.31758,1.00857,9.325e-05,9.325e-05,9.325e-05
21,2801.78,0.84071,0.32401,1.0131,0.97276,0.97792,0.98228,0.77131,0.86875,0.32093,1.01175,8.5e-05,8.5e-05,8.5e-05
22,2932.05,0.83241,0.3174,1.00905,0.97191,0.97467,0.98224,0.77312,0.87457,0.31583,1.01944,7.675e-05,7.675e-05,7.675e-05
23,3062.23,0.82377,0.312,1.00456,0.97217,0.97779,0.98206,0.77282,0.86413,0.31182,1.00758,6.85e-05,6.85e-05,6.85e-05
24,3192.96,0.82195,0.30948,1.00312,0.98102,0.97262,0.9837,0.77448,0.86781,0.31517,1.01082,6.025e-05,6.025e-05,6.025e-05
25,3323.07,0.81314,0.30699,0.99978,0.97762,0.97218,0.98475,0.78022,0.86181,0.31086,1.00879,5.2e-05,5.2e-05,5.2e-05
26,3453.43,0.80572,0.29913,0.99618,0.97729,0.97584,0.98531,0.78072,0.86395,0.30595,1.01115,4.375e-05,4.375e-05,4.375e-05
27,3583.67,0.79801,0.29283,0.99274,0.9788,0.96851,0.98338,0.77823,0.87055,0.30299,1.00897,3.55e-05,3.55e-05,3.55e-05
28,3714.52,0.78988,0.2889,0.9847,0.97909,0.97037,0.98426,0.7815,0.86683,0.30003,1.009,2.725e-05,2.725e-05,2.725e-05
29,3844.89,0.78546,0.28369,0.98342,0.98095,0.96962,0.98469,0.78603,0.86043,0.29696,1.00654,1.9e-05,1.9e-05,1.9e-05
30,3975.74,0.775,0.27869,0.97978,0.97932,0.96926,0.98354,0.78255,0.86368,0.29664,1.00789,1.075e-05,1.075e-05,1.075e-05
